temperature,wind_speed,mean_sea_level_pressure,total_cloud_cover,mintemp,minwind,minpress,mincloud,maxtemp,maxwind,maxpress,maxcloud,monthdate
19.40989247311828,3.9762365591397852,101320.0902688172,0.45690860215053763,9.66,0.1,100070.92,0.0,38.64,9.05,102041.85,1.0,2010-01
21.10169642857143,3.7655357142857144,101652.49102678572,0.45839285714285716,10.68,0.28,100614.68,0.0,31.99,9.26,102693.32,1.0,2010-02
18.835403225806452,3.232486559139785,101498.45766129032,0.5108198924731183,11.0,0.04,96744.24,0.0,29.29,8.09,103258.43,1.0,2010-03
16.493125,3.639875,101872.7635138889,0.6812083333333333,8.25,0.19,100440.96,0.0,26.41,10.43,102853.92,1.0,2010-04
12.18,3.125497311827957,101822.77336021504,0.6061559139784947,2.41,0.16,100459.38,0.0,21.74,8.47,102843.78,1.0,2010-05
9.624055555555556,3.6615,101568.42609722223,0.64375,3.4,0.09,96736.6,0.0,15.82,9.72,103262.03,1.0,2010-06
9.3040188172043,3.130510752688172,101671.23017473119,0.5915322580645161,2.29,0.2,96733.63,0.0,15.31,9.84,103255.57,1.0,2010-07
9.490013440860215,4.730443548387097,101458.44044354839,0.6375268817204301,3.17,0.28,99777.79,0.0,15.46,11.65,103051.14,1.0,2010-08
10.861374999999999,4.020833333333333,101841.88465277778,0.6560555555555556,3.74,0.26,99017.89,0.0,18.61,12.3,102919.88,1.0,2010-09
13.701532258064518,3.6982661290322585,101891.89090053763,0.523736559139785,4.55,0.08,99211.47,0.0,25.61,10.64,103031.6,1.0,2010-10
16.267958333333333,3.5956527777777776,101719.69609722222,0.6192777777777778,6.78,0.12,100455.95,0.0,29.32,8.79,102670.77,1.0,2010-11
17.32483870967742,3.8300672043010753,101022.07998655914,0.5481317204301075,8.47,0.08,99388.3,0.0,36.56,9.13,102689.74,1.0,2010-12
19.99013440860215,3.462083333333333,101139.33865591398,0.5425672043010753,10.13,0.09,99827.98,0.0,34.49,9.88,102294.32,1.0,2011-01
18.566785714285714,3.387083333333333,101562.01794642858,0.711860119047619,8.94,0.27,99899.71,0.0,35.65,9.06,102838.38,1.0,2011-02
17.087043010752687,3.473454301075269,101691.53697580646,0.5249327956989247,7.93,0.05,100078.31,0.0,28.37,8.56,102857.89,1.0,2011-03
14.49702777777778,3.208736111111111,102186.61022222223,0.5236666666666667,7.31,0.13,100793.16,0.0,24.77,8.32,103238.62,1.0,2011-04
11.1652688172043,3.410631720430108,102066.06520161292,0.6748252688172043,3.71,0.23,100079.59,0.0,19.57,8.72,103235.73,1.0,2011-05
10.289402777777777,4.3388333333333335,101501.13595833334,0.5079305555555556,3.2,0.18,96738.3,0.0,17.63,11.15,103264.49,1.0,2011-06
9.787096774193548,4.765456989247312,101768.97069892474,0.6380779569892473,1.51,0.33,96737.48,0.0,16.87,10.69,103266.44,1.0,2011-07
11.200188172043012,3.2895967741935483,101439.09255376345,0.5677688172043011,3.4,0.06,96736.13,0.0,20.85,9.19,103229.2,1.0,2011-08
12.404444444444445,4.519652777777778,101608.47168055555,0.5492361111111111,4.14,0.31,99158.07,0.0,25.5,10.49,102768.66,1.0,2011-09
13.990927419354838,3.6698655913978495,101742.69072580646,0.651491935483871,4.98,0.25,96754.01,0.0,26.74,9.12,103259.26,1.0,2011-10
17.148097222222223,3.419236111111111,101404.69068055556,0.6677777777777778,8.7,0.13,99889.29,0.0,30.98,9.59,102740.36,1.0,2011-11
17.864435483870967,3.5956854838709678,101443.54100806452,0.4979166666666667,7.12,0.07,100165.05,0.0,31.52,8.31,102676.56,1.0,2011-12
20.211639784946236,4.368897849462366,101369.41818548387,0.4830779569892473,11.25,0.26,99109.37,0.0,35.81,9.94,102135.39,1.0,2012-01
20.033994252873562,3.6131321839080455,101316.20370689656,0.5499568965517241,11.42,0.17,99203.66,0.0,34.41,11.29,102188.35,1.0,2012-02
17.344784946236558,3.974462365591398,101636.0760483871,0.6006048387096774,9.72,0.18,100173.18,0.0,29.41,9.72,102883.48,1.0,2012-03
15.270972222222223,3.47525,101553.4859861111,0.5295555555555556,5.28,0.11,96730.01,0.0,27.16,10.8,103263.89,1.0,2012-04
11.851814516129032,4.139865591397849,101713.06817204301,0.5981317204301075,4.41,0.24,96735.21,0.0,20.68,11.45,103268.65,1.0,2012-05
9.819263888888889,3.9480694444444446,101902.366625,0.6171666666666666,2.8,0.38,96745.18,0.0,15.25,10.19,103270.71,1.0,2012-06
9.651491935483872,3.417782258064516,101612.8914516129,0.656760752688172,1.66,0.1,96729.89,0.0,15.28,9.05,103269.25,1.0,2012-07
10.143198924731182,5.115201612903226,101613.83724462365,0.6152284946236559,2.87,0.24,99664.39,0.0,17.8,10.06,103075.94,1.0,2012-08
12.178736111111112,4.43375,101535.9120138889,0.5680416666666667,3.98,0.18,99479.5,0.0,23.66,11.74,103097.35,1.0,2012-09
13.686841397849463,3.692258064516129,101693.53530913978,0.6638709677419355,6.15,0.29,96748.58,0.0,28.69,9.37,103258.93,1.0,2012-10
16.55077777777778,3.5857638888888888,101559.73584722223,0.6403472222222223,6.8,0.22,100438.14,0.0,34.91,10.61,102686.54,1.0,2012-11
17.92614247311828,4.0509139784946235,101459.19694892473,0.5205779569892474,9.8,0.22,99990.49,0.0,35.21,10.38,102768.93,1.0,2012-12
19.669502688172045,4.029368279569892,101194.71241935485,0.39239247311827957,10.21,0.08,99563.36,0.0,38.16,9.37,102331.31,1.0,2013-01
20.345223214285713,3.463154761904762,101602.95571428571,0.4222767857142857,9.43,0.23,100728.82,0.0,33.87,8.24,102372.3,1.0,2013-02
